,Player Name,Team,Position,w,k,sv,era,whip,score
623,Zach Rosscup,CHC,RP,1,20,0,4.41,1.5,1072
666,Shawn Camp,PHI,RP,1,19,1,4.79,1.48,1068
734,Maikel Cleto,CWS,RP,1,37,0,5.31,1.65,1061
722,Jason Garcia,BAL,SP,2,22,0,5.3,1.62,1059
648,Ramon Ramirez,BAL,RP,1,19,0,4.52,1.48,1058
724,Billy Buckner,SD,"SP,RP",2,22,0,5.45,1.56,1056
677,Evan Reed,DET,RP,1,25,0,4.64,1.51,1055
770,Johnny Hellweg,MIL,SP,2,25,0,5.66,1.85,1047
704,Nick Christiani,CIN,RP,2,16,0,5.17,1.58,1037
715,Elvis Araujo,PHI,RP,1,29,0,4.98,1.6,1009
671,Casey Coleman,KC,RP,1,17,0,4.52,1.51,1008
752,Michael Roth,LAA,RP,2,21,0,5.75,1.68,999
687,Ryan Buchter,ATL,RP,1,26,0,4.67,1.67,992
755,Graham Godfrey,FA,SP,2,19,0,5.94,1.62,989
763,Jair Jurrjens,COL,"SP,RP",2,21,0,6.16,1.67,987
676,Bobby Korecky,TOR,RP,1,17,0,4.91,1.45,985
679,Pedro Beato,ATL,RP,1,22,0,4.9,1.5,973
725,Daniel McCutchen,TEX,RP,1,23,0,5.61,1.46,955
748,Henry Rodriguez,ARI,RP,1,24,2,5.89,2.03,938
702,Stephen Pryor,MIN,RP,1,24,0,4.92,1.62,936
743,Phillippe Aumont,PHI,RP,1,28,0,5.29,1.77,923
703,Kevin Whelan,DET,RP,1,23,0,4.94,1.61,921
709,Kyle Drabek,CWS,RP,1,23,0,5.2,1.53,918
653,Frank Francisco,CWS,RP,1,16,0,5.22,1.47,913
706,Josh Zeid,DET,RP,1,24,0,5.31,1.55,912
761,Nick Maronde,CLE,RP,1,30,0,6.29,1.78,905
698,Luke Putkonen,DET,RP,1,14,0,4.81,1.61,867
726,Onelki Garcia,CWS,RP,1,22,0,5.36,1.72,821
664,Wilking Rodriguez,KC,RP,1,10,0,5.19,1.56,820
716,Trevor Bell,CIN,RP,1,14,0,5.17,1.63,808
738,Melvin Mercedes,DET,RP,1,15,0,5.83,1.52,803
717,Felipe Paulino,CWS,SP,1,16,0,5.31,1.65,793
736,Brad Penny,MIA,"SP,RP",1,14,0,5.6,1.63,764
766,Casey Crosby,DET,SP,1,20,0,6.32,1.93,763
721,Pedro Figueroa,TEX,RP,1,12,0,5.75,1.69,739
737,Pedro Hernandez,COL,"SP,RP",1,6,0,7.36,1.91,712
707,Jon Edwards,TEX,RP,0,10,0,4.92,1.91,710
747,Charles Leesman,CWS,"SP,RP",0,6,0,7.8,2.33,610
