,Player Name,Team,Position,w,k,sv,era,whip,score
423,Kyuji Fujikawa,TEX,RP,2,40,1,4.08,1.35,2062
481,Wade LeBlanc,LAA,"SP,RP",3,52,0,4.4,1.38,2059
415,Carter Capps,MIA,RP,2,42,0,3.98,1.35,2055
480,Josh Tomlin,CLE,"SP,RP",3,43,0,4.89,1.3,2052
422,Nick Hagadone,CLE,RP,2,42,0,4.12,1.33,2044
479,Taylor Hill,WSH,"P,RP",4,37,0,4.58,1.34,2040
452,C.J. Edwards,CHC,SP,2,46,0,3.78,1.41,2038
417,Sam Freeman,TEX,RP,2,34,0,3.61,1.37,2037
436,Manny Parra,CIN,RP,2,45,1,3.97,1.41,2032
430,Joe Wieland,LAD,"P,SP,RP",2,31,0,4.1,1.27,2031
440,Casey Sadler,PIT,RP,3,31,0,4.25,1.32,2024
426,Louis Coleman,KC,RP,2,37,0,3.89,1.35,2021
428,Josh Outman,ATL,RP,3,43,0,4.17,1.4,2020
421,Jose Mijares,FA,RP,2,39,0,3.61,1.41,2018
585,Charles Brewer,CLE,RP,4,59,0,4.85,1.41,2017
455,Logan Ondrusek,CIN,RP,3,46,1,4.36,1.42,2016
527,Esmil Rogers,NYY,RP,3,60,0,4.58,1.41,2008
566,Kyle Lobstein,DET,SP,4,53,0,4.56,1.43,2008
484,JR Graham,MIN,SP,3,38,1,4.29,1.39,2007
431,Matt Lindstrom,CWS,RP,2,27,2,3.56,1.4,2006
435,Dana Eveland,NYM,RP,2,36,0,3.96,1.34,2005
432,Joe Beimel,TEX,RP,2,21,0,3.34,1.35,2004
439,Spencer Patton,TEX,RP,2,29,0,4.06,1.28,2003
470,Josh Johnson,SD,SP,2,53,0,4.14,1.38,1998
478,Michael Blazek,MIL,RP,3,54,0,4.36,1.42,1996
458,Danny Hultzen,SEA,"SP,RP",3,44,0,3.99,1.48,1993
588,Sean Gilmartin,NYM,SP,3,54,0,4.54,1.4,1991
437,Arquimedes Caminero,PIT,RP,2,37,0,4.02,1.34,1985
453,Eric Jokisch,CHC,"P,RP",3,36,0,4.34,1.35,1982
448,Chris Perez,LAD,RP,2,42,1,4.28,1.35,1981
646,David Hale,COL,"SP,RP",5,55,0,4.52,1.51,1976
465,Chris Withrow,LAD,RP,1,25,0,3.27,1.31,1975
459,Anthony Swarzak,CLE,"SP,RP",2,40,0,4.1,1.35,1971
533,Zach Lee,LAD,SP,3,42,0,4.47,1.37,1968
444,Lisalverto Bonilla,TEX,"SP,RP",2,34,0,3.98,1.34,1967
476,Phil Coke,CHC,RP,3,38,1,4.04,1.48,1961
573,Jose Berrios,MIN,"SP,RP",5,55,0,4.81,1.46,1956
673,Barry Zito,FA,SP,5,58,0,4.8,1.48,1956
680,Andrew Albers,MIN,"RP,SP",4,50,0,5.17,1.39,1955
449,Ryan Pressly,MIN,RP,2,32,0,3.88,1.35,1950
528,Samuel Deduno,HOU,"SP,RP",3,54,0,4.35,1.45,1946
488,Craig Breslow,BOS,RP,3,41,0,4.04,1.46,1942
462,Matt Barnes,BOS,RP,3,38,0,4.26,1.39,1941
514,Eduardo Rodriguez,BOS,SP,3,41,0,4.3,1.4,1938
561,Yohan Pino,KC,SP,3,41,0,4.85,1.34,1938
